[impact] 대상 사용자 = 121
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=537ms total=700ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=196ms currentWeek=0ms summary+cards=522ms total=718ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=180ms currentWeek=0ms summary+cards=554ms total=734ms
[weekly-cards][timing] line aggregates+verdict 162ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=529ms total=697ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=527ms total=702ms
[weekly-cards][timing] line aggregates+verdict 162ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=531ms total=696ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=160ms currentWeek=0ms summary+cards=532ms total=692ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=173ms currentWeek=0ms summary+cards=541ms total=714ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=544ms total=709ms
[weekly-cards][timing] line aggregates+verdict 155ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=537ms total=715ms
[weekly-cards][timing] line aggregates+verdict 153ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=158ms currentWeek=0ms summary+cards=527ms total=685ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=529ms total=704ms
[impact] 50/121
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=517ms total=689ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=37
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=556ms total=724ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=174ms currentWeek=0ms summary+cards=567ms total=741ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=164ms currentWeek=0ms summary+cards=521ms total=685ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=173ms currentWeek=0ms summary+cards=542ms total=715ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=164ms currentWeek=0ms summary+cards=579ms total=743ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=22
[weekly-cards][timing] getWeeklyGrowth crew=169ms currentWeek=0ms summary+cards=536ms total=705ms
[weekly-cards][timing] line aggregates+verdict 165ms | weeks=13
[weekly-cards][timing] getWeeklyGrowth crew=161ms currentWeek=0ms summary+cards=546ms total=707ms
[weekly-cards][timing] line aggregates+verdict 167ms | weeks=30
[weekly-cards][timing] getWeeklyGrowth crew=170ms currentWeek=0ms summary+cards=568ms total=738ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=545ms total=708ms
[weekly-cards][timing] line aggregates+verdict 162ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=192ms currentWeek=0ms summary+cards=525ms total=717ms
[weekly-cards][timing] line aggregates+verdict 152ms | weeks=21
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=531ms total=694ms
[weekly-cards][timing] line aggregates+verdict 167ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=169ms currentWeek=0ms summary+cards=542ms total=711ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=159ms currentWeek=0ms summary+cards=536ms total=695ms
[weekly-cards][timing] line aggregates+verdict 153ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=522ms total=700ms
[weekly-cards][timing] line aggregates+verdict 170ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=543ms total=711ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=171ms currentWeek=0ms summary+cards=537ms total=708ms
[weekly-cards][timing] line aggregates+verdict 170ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=174ms currentWeek=1ms summary+cards=534ms total=709ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=13
[weekly-cards][timing] getWeeklyGrowth crew=182ms currentWeek=0ms summary+cards=537ms total=719ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=158ms currentWeek=0ms summary+cards=556ms total=714ms
[weekly-cards][timing] line aggregates+verdict 152ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=177ms currentWeek=0ms summary+cards=536ms total=713ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=20
[weekly-cards][timing] getWeeklyGrowth crew=158ms currentWeek=0ms summary+cards=565ms total=723ms
[growth] user_season_statuses is EMPTY for user aac4639b-7c22-4a53-9f2e-08076d5aa620 — season counts (f/g) will be 0
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=24
[weekly-cards][timing] getWeeklyGrowth crew=194ms currentWeek=0ms summary+cards=526ms total=720ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=522ms total=685ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=3
[weekly-cards][timing] getWeeklyGrowth crew=166ms currentWeek=1ms summary+cards=555ms total=722ms
[impact] 75/121
[weekly-cards][timing] line aggregates+verdict 152ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=534ms total=712ms
[weekly-cards][timing] line aggregates+verdict 162ms | weeks=23
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=529ms total=694ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=20
[weekly-cards][timing] getWeeklyGrowth crew=194ms currentWeek=0ms summary+cards=556ms total=750ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=169ms currentWeek=0ms summary+cards=548ms total=717ms
[weekly-cards][timing] line aggregates+verdict 167ms | weeks=23
[weekly-cards][timing] getWeeklyGrowth crew=174ms currentWeek=0ms summary+cards=533ms total=707ms
[weekly-cards][timing] line aggregates+verdict 152ms | weeks=22
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=541ms total=704ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=161ms currentWeek=0ms summary+cards=523ms total=684ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=529ms total=701ms
[weekly-cards][timing] line aggregates+verdict 170ms | weeks=24
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=556ms total=728ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=22
[weekly-cards][timing] getWeeklyGrowth crew=164ms currentWeek=0ms summary+cards=540ms total=704ms
[growth] user_season_statuses is EMPTY for user c28b2409-4118-49fc-a42e-68e18dbd194c — season counts (f/g) will be 0
[weekly-cards][timing] line aggregates+verdict 153ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=170ms currentWeek=0ms summary+cards=525ms total=695ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=164ms currentWeek=0ms summary+cards=524ms total=688ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=3
[weekly-cards][timing] getWeeklyGrowth crew=186ms currentWeek=0ms summary+cards=544ms total=730ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=162ms currentWeek=0ms summary+cards=530ms total=692ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=40
[weekly-cards][timing] getWeeklyGrowth crew=169ms currentWeek=0ms summary+cards=541ms total=710ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=177ms currentWeek=0ms summary+cards=522ms total=699ms
[weekly-cards][timing] line aggregates+verdict 176ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=302ms currentWeek=0ms summary+cards=547ms total=849ms
[weekly-cards][timing] line aggregates+verdict 168ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=549ms total=712ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=521ms total=686ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=516ms total=694ms
[weekly-cards][timing] line aggregates+verdict 180ms | weeks=13
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=576ms total=744ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=182ms currentWeek=0ms summary+cards=522ms total=704ms
[weekly-cards][timing] line aggregates+verdict 168ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=162ms currentWeek=0ms summary+cards=558ms total=720ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=12
[weekly-cards][timing] getWeeklyGrowth crew=176ms currentWeek=0ms summary+cards=539ms total=715ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=20
[weekly-cards][timing] getWeeklyGrowth crew=161ms currentWeek=0ms summary+cards=545ms total=706ms
[impact] 100/121
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=40
[weekly-cards][timing] getWeeklyGrowth crew=179ms currentWeek=0ms summary+cards=543ms total=722ms
[weekly-cards][timing] line aggregates+verdict 162ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=184ms currentWeek=0ms summary+cards=533ms total=717ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=233ms currentWeek=0ms summary+cards=550ms total=783ms
[weekly-cards][timing] line aggregates+verdict 190ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=187ms currentWeek=0ms summary+cards=558ms total=745ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=167ms currentWeek=0ms summary+cards=530ms total=697ms
[weekly-cards][timing] line aggregates+verdict 165ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=176ms currentWeek=0ms summary+cards=548ms total=724ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=162ms currentWeek=0ms summary+cards=554ms total=716ms
[weekly-cards][timing] line aggregates+verdict 181ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=170ms currentWeek=0ms summary+cards=547ms total=717ms
[weekly-cards][timing] line aggregates+verdict 170ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=563ms total=741ms
[weekly-cards][timing] line aggregates+verdict 172ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=189ms currentWeek=0ms summary+cards=548ms total=737ms
[weekly-cards][timing] line aggregates+verdict 193ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=600ms total=772ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=194ms currentWeek=0ms summary+cards=563ms total=757ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=23
[weekly-cards][timing] getWeeklyGrowth crew=161ms currentWeek=0ms summary+cards=545ms total=706ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=183ms currentWeek=0ms summary+cards=551ms total=734ms
